student_id,time_organization
1790,Plage de temps reservee avec quelques exceptions*Surtout durant la semaine - peu la fin de semaine*Surtout le jour : entre 8h00 et 18h00.*Toujours
3810,Plage de temps reservee avec quelques exceptions*Surtout durant la fin de semaine - peu en semaine*Surtout en soiree : apres 18h00.*Jamais
3122,Plage de temps reservee avec quelques exceptions*Surtout durant la semaine - peu la fin de semaine*Surtout le jour : entre 8h00 et 18h00.*Tres souvent
3962,Plage de temps reservee avec quelques exceptions*Surtout durant la semaine - peu la fin de semaine*Surtout le jour : entre 8h00 et 18h00.*Jamais
2698,Plage de temps reservee avec quelques exceptions*Surtout durant la semaine - peu la fin de semaine*Surtout en soiree : apres 18h00.*Jamais
1388,Plage de temps strictement reservee*Surtout durant la semaine - peu la fin de semaine*Surtout le jour : entre 8h00 et 18h00.*Parfois
1554,Plage de temps reservee avec quelques exceptions*En semaine ou la fin de semaine a egalite*Surtout en soiree : apres 18h00.*Regulierement
1845,***
6045,***
5939,Plage de temps reservee avec quelques exceptions*Surtout durant la semaine - peu la fin de semaine*Surtout le jour : entre 8h00 et 18h00.*Jamais
727,***
576,***
5801,Plage de temps reservee avec quelques exceptions*Surtout durant la fin de semaine - peu en semaine**Jamais
4706,Plage de temps reservee avec quelques exceptions*Surtout durant la semaine - peu la fin de semaine*Surtout le jour : entre 8h00 et 18h00.*Parfois
2674,*En semaine ou la fin de semaine a egalite*Surtout en soiree : apres 18h00.*Jamais
1761,*En semaine ou la fin de semaine a egalite*Surtout en soiree : apres 18h00.*Parfois
2194,***
4182,***
720,*Surtout durant la semaine - peu la fin de semaine*Surtout le jour : entre 8h00 et 18h00.*option_i4x-TELUQ-TUL1-problem-7263404c883d4411a0879cf73ff5f652_2_4_dummy_default
380,Plage de temps reservee avec quelques exceptions*Surtout durant la semaine - peu la fin de semaine**Jamais
4163,***
3856,*En semaine ou la fin de semaine a egalite**Tres souvent
6026,***
4892,Plage de temps reservee avec quelques exceptions*Surtout durant la semaine - peu la fin de semaine*Surtout le jour : entre 8h00 et 18h00.*Regulierement
3694,Plage de temps strictement reservee*Surtout durant la semaine - peu la fin de semaine*Surtout le jour : entre 8h00 et 18h00.*Tres souvent
5774,Plage de temps strictement reservee*En semaine ou la fin de semaine a egalite*Surtout en soiree : apres 18h00.*Jamais
1914,*En semaine ou la fin de semaine a egalite*Surtout en soiree : apres 18h00.*Jamais
4534,*Surtout durant la semaine - peu la fin de semaine*Surtout le jour : entre 8h00 et 18h00.*Jamais
1892,Plage de temps strictement reservee*Surtout durant la fin de semaine - peu en semaine*Surtout en soiree : apres 18h00.*Jamais
1868,***
1751,Plage de temps strictement reservee*Surtout durant la semaine - peu la fin de semaine*Surtout en soiree : apres 18h00.*Toujours
5560,Plage de temps strictement reservee*En semaine ou la fin de semaine a egalite**Jamais
2745,*Surtout durant la semaine - peu la fin de semaine*Surtout en soiree : apres 18h00.*Parfois
5558,Plage de temps strictement reservee*Surtout durant la semaine - peu la fin de semaine*Surtout le jour : entre 8h00 et 18h00.*Regulierement
1182,Plage de temps strictement reservee*Surtout durant la semaine - peu la fin de semaine*Surtout en soiree : apres 18h00.*Jamais
4721,*Surtout durant la semaine - peu la fin de semaine*Surtout en soiree : apres 18h00.*Jamais
3259,*Surtout durant la fin de semaine - peu en semaine*Surtout en soiree : apres 18h00.*Parfois
